x1,x2
1,452486.49910847656 (tracked)
2,427200.43980568834 (tracked)
3,401915.0192126795 (tracked)
4,376685.1318117776 (tracked)
5,351573.77884500154 (tracked)
6,326652.8843005297 (tracked)
7,302004.4636950264 (tracked)
8,277719.9626627673 (tracked)
9,253901.94050762046 (tracked)
10,230664.0594773371 (tracked)
11,208129.36323348773 (tracked)
12,186430.55537873128 (tracked)
13,165707.41694248095 (tracked)
14,146103.8017701712 (tracked)
15,127762.94864950162 (tracked)
16,110821.4887087361 (tracked)
17,95402.77348291948 (tracked)
18,81606.92482807643 (tracked)
19,69503.54259231495 (tracked)
20,59121.04146533155 (tracked)
21,50439.28184646486 (tracked)
22,43385.6953646134 (tracked)
23,37832.417057059654 (tracked)
24,33601.00003582925 (tracked)
25,30472.63429574779 (tracked)
26,28201.213000790165 (tracked)
27,26534.175537910174 (tracked)
28,25230.51709821076 (tracked)
29,24081.14631764666 (tracked)
30,22922.111489170427 (tracked)
31,21643.724862004998 (tracked)
32,20190.411879317442 (tracked)
33,18557.43655863069 (tracked)
34,16778.43991552009 (tracked)
35,14914.601025824451 (tracked)
36,13040.885215837188 (tracked)
37,11233.92453433082 (tracked)
38,9562.250686286328 (tracked)
39,8080.208725578433 (tracked)
40,6824.133659127245 (tracked)
41,5811.466418869556 (tracked)
42,5042.37634341098 (tracked)
43,4502.033069632386 (tracked)
44,4164.758044934424 (tracked)
45,3997.1735385288594 (tracked)
46,3962.468949795289 (tracked)
47,4023.066923483083 (tracked)
48,4143.659215990764 (tracked)
49,4292.845491987983 (tracked)
50,4444.532207141101 (tracked)
51,4578.32558445928 (tracked)
52,4680.592718746163 (tracked)
53,4742.395790650014 (tracked)
54,4760.642757556263 (tracked)
55,4736.430023691443 (tracked)
56,4674.252387285307 (tracked)
57,4580.957301023326 (tracked)
58,4464.802793485807 (tracked)
59,4334.529067634915 (tracked)
60,4198.517974782948 (tracked)
61,4064.175153975289 (tracked)
62,3937.431330924152 (tracked)
63,3822.484408973594 (tracked)
64,3721.675734459928 (tracked)
65,3635.614281330216 (tracked)
66,3563.3697027152784 (tracked)
67,3502.869298782783 (tracked)
68,3451.3218192693284 (tracked)
69,3405.5454634126877 (tracked)
70,3362.587714209066 (tracked)
71,3319.8731421303 (tracked)
72,3275.4032851139796 (tracked)
73,3228.232382360987 (tracked)
74,3177.9652598922507 (tracked)
75,3125.1291210617314 (tracked)
76,3070.779666257223 (tracked)
77,3016.3941007675694 (tracked)
78,2963.238273508719 (tracked)
79,2912.9239377022695 (tracked)
80,2866.598211237631 (tracked)
81,2825.1325980478105 (tracked)
82,2788.8874419622016 (tracked)
83,2757.7462967329266 (tracked)
84,2731.5386718080404 (tracked)
85,2709.4113161361197 (tracked)
86,2690.6886967846604 (tracked)
87,2674.2300859206853 (tracked)
88,2659.1509327871386 (tracked)
89,2644.7951280060547 (tracked)
90,2630.347830243222 (tracked)
91,2615.6286481740044 (tracked)
92,2600.146743833708 (tracked)
93,2583.9940042446465 (tracked)
94,2567.2326954346586 (tracked)
95,2549.941771630161 (tracked)
96,2532.526385487095 (tracked)
97,2515.1271350425404 (tracked)
98,2497.955931868933 (tracked)
99,2481.204328615576 (tracked)
100,2465.079214031625 (tracked)
101,2449.26959952569 (tracked)
102,2434.0292283336244 (tracked)
103,2419.1169245876654 (tracked)
104,2404.343891037207 (tracked)
105,2389.829447333226 (tracked)
106,2375.3756186105293 (tracked)
107,2360.9313596004954 (tracked)
108,2346.412303135813 (tracked)
109,2331.838444697572 (tracked)
110,2317.250122646535 (tracked)
111,2302.7165734244877 (tracked)
112,2288.2302275315537 (tracked)
113,2273.918687450806 (tracked)
114,2259.848630838116 (tracked)
115,2245.9661105863993 (tracked)
116,2232.448509915427 (tracked)
117,2219.229566562849 (tracked)
118,2206.293790874913 (tracked)
119,2193.6549364976454 (tracked)
120,2181.254345698966 (tracked)
121,2169.0492029004436 (tracked)
122,2157.0271256519068 (tracked)
123,2145.1489983233673 (tracked)
124,2133.3947135929516 (tracked)
125,2121.751184217572 (tracked)
126,2110.212619042544 (tracked)
