x1,x2
1,510895.5853953986 (tracked)
2,484234.9887854267 (tracked)
3,457462.9669369604 (tracked)
4,430627.3210098726 (tracked)
5,403784.0173276581 (tracked)
6,376998.5458678749 (tracked)
7,350346.7300745521 (tracked)
8,323915.8756762138 (tracked)
9,297805.5776088655 (tracked)
10,272128.8150072697 (tracked)
11,247009.8557689906 (tracked)
12,222590.67275824744 (tracked)
13,199021.54586748674 (tracked)
14,176465.8479048897 (tracked)
15,155091.71061550244 (tracked)
16,135071.88897167976 (tracked)
17,116574.27320216234 (tracked)
18,99751.59188755446 (tracked)
19,84733.47687586109 (tracked)
20,71612.1887146834 (tracked)
21,60431.84222889995 (tracked)
22,51176.761915354014 (tracked)
23,43766.593147122076 (tracked)
24,38048.26693811584 (tracked)
25,33811.82709028759 (tracked)
26,30791.27116140387 (tracked)
27,28691.137206625717 (tracked)
28,27206.377303533653 (tracked)
29,26053.16866138886 (tracked)
30,24993.44644844159 (tracked)
31,23844.23539057411 (tracked)
32,22493.20932152325 (tracked)
33,20895.274077939535 (tracked)
34,19064.044614268845 (tracked)
35,17057.47220814854 (tracked)
36,14961.581042573293 (tracked)
37,12872.502150454331 (tracked)
38,10884.082005212056 (tracked)
39,9074.368193298522 (tracked)
40,7502.739379186647 (tracked)
41,6204.596413620243 (tracked)
42,5191.447345202731 (tracked)
43,4455.523819264287 (tracked)
44,3973.4707238348237 (tracked)
45,3708.990722783793 (tracked)
46,3620.7117690349814 (tracked)
47,3663.398520942312 (tracked)
48,3794.196319895712 (tracked)
49,3973.699276449597 (tracked)
50,4167.4737412801705 (tracked)
51,4348.65196017769 (tracked)
52,4497.67862678063 (tracked)
53,4601.681411561206 (tracked)
54,4654.268146529241 (tracked)
55,4654.789846081573 (tracked)
56,4607.078800670588 (tracked)
57,4518.232103801659 (tracked)
58,4397.567013484372 (tracked)
59,4255.618574051605 (tracked)
60,4102.297372636445 (tracked)
61,3947.6082505215772 (tracked)
62,3799.228161309976 (tracked)
63,3663.0120595837634 (tracked)
64,3542.7821811178464 (tracked)
65,3440.22955814281 (tracked)
66,3355.1252830218496 (tracked)
67,3285.384101879241 (tracked)
68,3227.8234475754753 (tracked)
69,3178.517135708444 (tracked)
70,3134.289332845277 (tracked)
71,3091.605525749963 (tracked)
72,3047.30833565662 (tracked)
73,2999.7133186178216 (tracked)
74,2948.917319580839 (tracked)
75,2893.922859541274 (tracked)
76,2836.5312340130918 (tracked)
77,2778.7375284165864 (tracked)
78,2721.308015481937 (tracked)
79,2666.0562532468284 (tracked)
80,2615.685742296151 (tracked)
81,2570.1896139070177 (tracked)
82,2530.8329182149755 (tracked)
83,2497.2905561242487 (tracked)
